from_loc,to_loc,amount,country,from_pop,from_x,from_y,to_pop,to_x,to_y,euc_dist,predict_ipums,predict_ipums_country,predict_civ,predict_kenya,predict_sen
32,41,10,SLE,191754.4736,-12.2756004,7.5009198,540326.047,-13.0862999,8.3221998,1.154008023,113.1145689,44.74794616,874.2085281,21736.86254,2055.194039
32,42,91,SLE,191754.4736,-12.2756004,7.5009198,775375.9439,-13.2444,8.4532099,1.358465715,144.4095195,116.8706383,904.6217893,24170.77666,1818.517363
33,11,31,SLE,352832.0699,-12.4265003,8.05931,472521.038,-10.6969995,8.0851002,1.72969308,132.3964749,68.37005938,719.0391507,16938.82057,1250.483662
33,12,140,SLE,352832.0699,-12.4265003,8.05931,690510.5587,-11.2013998,7.9244599,1.232499811,278.0578663,243.3673992,1621.457563,53806.82269,2724.241436
33,13,32,SLE,352832.0699,-12.4265003,8.05931,538271.4597,-10.9485998,8.6857595,1.605188109,164.1814947,103.5050288,892.1913303,23132.11725,1517.145146
33,21,14,SLE,352832.0699,-12.4265003,8.05931,550436.786,-12.1657,9.31141,1.278972715,208.9009509,124.0327845,1283.380147,37842.99166,2295.920099
33,22,7,SLE,352832.0699,-12.4265003,8.05931,362084.2954,-12.8070002,9.18221,1.185615698,141.2809124,38.44405262,1037.851298,26531.76053,2162.927015
33,23,5,SLE,352832.0699,-12.4265003,8.05931,358521.7854,-11.3449001,9.45222,1.763535444,95.77540678,30.48647674,562.454728,11630.16617,1062.803585
33,24,72,SLE,352832.0699,-12.4265003,8.05931,612546.8019,-12.7334995,8.7240896,0.732243419,399.7213205,224.7703506,3263.321063,134987.8297,6503.523873
33,25,53,SLE,352832.0699,-12.4265003,8.05931,472176.2751,-11.8753004,8.6617603,0.816558445,270.2114179,100.2075607,2254.698473,78652.59214,4748.102871
33,31,365,SLE,352832.0699,-12.4265003,8.05931,641236.4017,-11.7143002,7.95329,0.72004807,427.2515803,258.7686364,3470.000838,147720.5905,6844.560438
33,32,126,SLE,352832.0699,-12.4265003,8.05931,191754.4736,-12.2756004,7.5009198,0.578420604,138.4668967,8.847487931,1883.206281,53142.20909,5768.768796
33,34,26,SLE,352832.0699,-12.4265003,8.05931,316360.3377,-11.5670996,7.29498,1.150117347,125.2573507,26.43593884,978.0483418,23953.28438,2144.361612
33,41,362,SLE,352832.0699,-12.4265003,8.05931,540326.047,-13.0862999,8.3221998,0.710244014,358.1826,158.8921685,3098.837573,123320.9055,6477.549701
33,42,531,SLE,352832.0699,-12.4265003,8.05931,775375.9439,-13.2444,8.4532099,0.907808928,422.8319527,397.8570825,2828.756981,115868.0885,4951.284472
34,11,47,SLE,316360.3377,-11.5670996,7.29498,472521.038,-10.6969995,8.0851002,1.175314475,168.9951502,69.44750316,1179.000076,32710.03796,2362.137803
34,12,309,SLE,316360.3377,-11.5670996,7.29498,690510.5587,-11.2013998,7.9244599,0.727998138,405.5318549,265.5907266,3291.167016,138409.287,6601.582227
34,13,16,SLE,316360.3377,-11.5670996,7.29498,538271.4597,-10.9485998,8.6857595,1.522106967,152.6176195,88.63944249,880.518696,22582.5423,1584.600331
34,21,13,SLE,316360.3377,-11.5670996,7.29498,550436.786,-12.1657,9.31141,2.10340495,114.9932554,80.11726826,547.4426043,11969.30236,900.8633024
34,22,11,SLE,316360.3377,-11.5670996,7.29498,362084.2954,-12.8070002,9.18221,2.258094456,67.63459614,23.03437067,354.01804,6214.32764,653.7649638
34,23,2,SLE,316360.3377,-11.5670996,7.29498,358521.7854,-11.3449001,9.45222,2.168653277,69.52174129,22.8537925,373.5960896,6669.420294,699.2545204
34,24,10,SLE,316360.3377,-11.5670996,7.29498,612546.8019,-12.7334995,8.7240896,1.84467964,146.6439881,116.7016921,726.9640704,17836.2965,1195.534177
34,25,1,SLE,316360.3377,-11.5670996,7.29498,472176.2751,-11.8753004,8.6617603,1.401098184,142.8594483,63.33686357,901.596338,22808.42008,1727.716204
34,31,542,SLE,316360.3377,-11.5670996,7.29498,641236.4017,-11.7143002,7.95329,0.674566581,401.7586583,222.9815846,3488.32344,147827.8364,7304.375254
34,32,45,SLE,316360.3377,-11.5670996,7.29498,191754.4736,-12.2756004,7.5009198,0.737824224,97.06895946,6.509179402,1183.004732,28274.25819,3556.229509
34,33,39,SLE,316360.3377,-11.5670996,7.29498,352832.0699,-12.4265003,8.05931,1.150117347,124.8908764,30.19633636,969.5454469,23955.67336,2143.636867
